CNN inference debug log
----------------------

CONV1_PRE_RELU [t=9305000]: ch=3, y=0, x=8, val=-1
CONV1_PRE_RELU [t=9305000]: ch=4, y=0, x=8, val=-1
CONV1_PRE_RELU [t=9305000]: ch=5, y=0, x=8, val=-1
CONV1 [t=9315000]: ch=0, y=0, x=9, val=0
CONV1 [t=9315000]: ch=1, y=0, x=9, val=0
CONV1 [t=9315000]: ch=2, y=0, x=9, val=0
CONV1 [t=9315000]: ch=3, y=0, x=9, val=0
CONV1 [t=9315000]: ch=4, y=0, x=9, val=0
CONV1 [t=9315000]: ch=5, y=0, x=9, val=0
CONV1_PRE_RELU [t=9315000]: ch=0, y=0, x=9, val=-1
CONV1_PRE_RELU [t=9315000]: ch=1, y=0, x=9, val=-1
CONV1_PRE_RELU [t=9315000]: ch=2, y=0, x=9, val=-1
CONV1_PRE_RELU [t=9315000]: ch=3, y=0, x=9, val=-1
CONV1_PRE_RELU [t=9315000]: ch=4, y=0, x=9, val=-1
CONV1_PRE_RELU [t=9315000]: ch=5, y=0, x=9, val=-1
CONV1 [t=9325000]: ch=0, y=0, x=10, val=0
CONV1 [t=9325000]: ch=1, y=0, x=10, val=0
CONV1 [t=9325000]: ch=2, y=0, x=10, val=0
CONV1 [t=9325000]: ch=3, y=0, x=10, val=0
CONV1 [t=9325000]: ch=4, y=0, x=10, val=0
CONV1 [t=9325000]: ch=5, y=0, x=10, val=0
CONV1_PRE_RELU [t=9325000]: ch=0, y=0, x=10, val=-1
CONV1_PRE_RELU [t=9325000]: ch=1, y=0, x=10, val=-1
CONV1_PRE_RELU [t=9325000]: ch=2, y=0, x=10, val=-1
CONV1_PRE_RELU [t=9325000]: ch=3, y=0, x=10, val=-1
CONV1_PRE_RELU [t=9325000]: ch=4, y=0, x=10, val=-1
CONV1_PRE_RELU [t=9325000]: ch=5, y=0, x=10, val=-1
CONV1 [t=9335000]: ch=0, y=0, x=11, val=0
CONV1 [t=9335000]: ch=1, y=0, x=11, val=0
CONV1 [t=9335000]: ch=2, y=0, x=11, val=0
CONV1 [t=9335000]: ch=3, y=0, x=11, val=0
CONV1 [t=9335000]: ch=4, y=0, x=11, val=0
CONV1 [t=9335000]: ch=5, y=0, x=11, val=0
CONV1_PRE_RELU [t=9335000]: ch=0, y=0, x=11, val=-1
CONV1_PRE_RELU [t=9335000]: ch=1, y=0, x=11, val=-1
CONV1_PRE_RELU [t=9335000]: ch=2, y=0, x=11, val=-1
CONV1_PRE_RELU [t=9335000]: ch=3, y=0, x=11, val=-1
CONV1_PRE_RELU [t=9335000]: ch=4, y=0, x=11, val=-1
CONV1_PRE_RELU [t=9335000]: ch=5, y=0, x=11, val=-1
CONV1 [t=9345000]: ch=0, y=0, x=12, val=0
CONV1 [t=9345000]: ch=1, y=0, x=12, val=0
CONV1 [t=9345000]: ch=2, y=0, x=12, val=0
CONV1 [t=9345000]: ch=3, y=0, x=12, val=0
CONV1 [t=9345000]: ch=4, y=0, x=12, val=0
CONV1 [t=9345000]: ch=5, y=0, x=12, val=0
CONV1_PRE_RELU [t=9345000]: ch=0, y=0, x=12, val=-1
CONV1_PRE_RELU [t=9345000]: ch=1, y=0, x=12, val=-1
CONV1_PRE_RELU [t=9345000]: ch=2, y=0, x=12, val=-1
CONV1_PRE_RELU [t=9345000]: ch=3, y=0, x=12, val=-1
CONV1_PRE_RELU [t=9345000]: ch=4, y=0, x=12, val=-1
CONV1_PRE_RELU [t=9345000]: ch=5, y=0, x=12, val=-1
CONV1 [t=9355000]: ch=0, y=0, x=13, val=0
CONV1 [t=9355000]: ch=1, y=0, x=13, val=0
CONV1 [t=9355000]: ch=2, y=0, x=13, val=0
CONV1 [t=9355000]: ch=3, y=0, x=13, val=0
CONV1 [t=9355000]: ch=4, y=0, x=13, val=0
CONV1 [t=9355000]: ch=5, y=0, x=13, val=0
CONV1_PRE_RELU [t=9355000]: ch=0, y=0, x=13, val=-1
CONV1_PRE_RELU [t=9355000]: ch=1, y=0, x=13, val=-1
CONV1_PRE_RELU [t=9355000]: ch=2, y=0, x=13, val=-1
CONV1_PRE_RELU [t=9355000]: ch=3, y=0, x=13, val=-1
CONV1_PRE_RELU [t=9355000]: ch=4, y=0, x=13, val=-1
CONV1_PRE_RELU [t=9355000]: ch=5, y=0, x=13, val=-1
CONV1 [t=9365000]: ch=0, y=0, x=14, val=0
CONV1 [t=9365000]: ch=1, y=0, x=14, val=0
CONV1 [t=9365000]: ch=2, y=0, x=14, val=0
CONV1 [t=9365000]: ch=3, y=0, x=14, val=0
CONV1 [t=9365000]: ch=4, y=0, x=14, val=0
CONV1 [t=9365000]: ch=5, y=0, x=14, val=0
CONV1_PRE_RELU [t=9365000]: ch=0, y=0, x=14, val=-1
CONV1_PRE_RELU [t=9365000]: ch=1, y=0, x=14, val=-1
CONV1_PRE_RELU [t=9365000]: ch=2, y=0, x=14, val=-1
CONV1_PRE_RELU [t=9365000]: ch=3, y=0, x=14, val=-1
CONV1_PRE_RELU [t=9365000]: ch=4, y=0, x=14, val=-1
CONV1_PRE_RELU [t=9365000]: ch=5, y=0, x=14, val=-1
CONV1 [t=9375000]: ch=0, y=0, x=15, val=0
CONV1 [t=9375000]: ch=1, y=0, x=15, val=0
CONV1 [t=9375000]: ch=2, y=0, x=15, val=0
CONV1 [t=9375000]: ch=3, y=0, x=15, val=0
CONV1 [t=9375000]: ch=4, y=0, x=15, val=0
CONV1 [t=9375000]: ch=5, y=0, x=15, val=0
CONV1_PRE_RELU [t=9375000]: ch=0, y=0, x=15, val=-1
CONV1_PRE_RELU [t=9375000]: ch=1, y=0, x=15, val=-1
CONV1_PRE_RELU [t=9375000]: ch=2, y=0, x=15, val=-1
CONV1_PRE_RELU [t=9375000]: ch=3, y=0, x=15, val=-1
CONV1_PRE_RELU [t=9375000]: ch=4, y=0, x=15, val=-1
CONV1_PRE_RELU [t=9375000]: ch=5, y=0, x=15, val=-1
CONV1 [t=9385000]: ch=0, y=0, x=16, val=0
CONV1 [t=9385000]: ch=1, y=0, x=16, val=0
CONV1 [t=9385000]: ch=2, y=0, x=16, val=0
CONV1 [t=9385000]: ch=3, y=0, x=16, val=0
CONV1 [t=9385000]: ch=4, y=0, x=16, val=0
CONV1 [t=9385000]: ch=5, y=0, x=16, val=0
CONV1_PRE_RELU [t=9385000]: ch=0, y=0, x=16, val=-1
CONV1_PRE_RELU [t=9385000]: ch=1, y=0, x=16, val=-1
CONV1_PRE_RELU [t=9385000]: ch=2, y=0, x=16, val=-1
CONV1_PRE_RELU [t=9385000]: ch=3, y=0, x=16, val=-1
CONV1_PRE_RELU [t=9385000]: ch=4, y=0, x=16, val=-1
CONV1_PRE_RELU [t=9385000]: ch=5, y=0, x=16, val=-1
CONV1 [t=9395000]: ch=0, y=0, x=17, val=0
CONV1 [t=9395000]: ch=1, y=0, x=17, val=0
CONV1 [t=9395000]: ch=2, y=0, x=17, val=0
CONV1 [t=9395000]: ch=3, y=0, x=17, val=0
CONV1 [t=9395000]: ch=4, y=0, x=17, val=0
CONV1 [t=9395000]: ch=5, y=0, x=17, val=0
CONV1_PRE_RELU [t=9395000]: ch=0, y=0, x=17, val=-1
CONV1_PRE_RELU [t=9395000]: ch=1, y=0, x=17, val=-1
CONV1_PRE_RELU [t=9395000]: ch=2, y=0, x=17, val=-1
CONV1_PRE_RELU [t=9395000]: ch=3, y=0, x=17, val=-1
CONV1_PRE_RELU [t=9395000]: ch=4, y=0, x=17, val=-1
CONV1_PRE_RELU [t=9395000]: ch=5, y=0, x=17, val=-1
CONV1 [t=9405000]: ch=0, y=0, x=18, val=0
CONV1 [t=9405000]: ch=1, y=0, x=18, val=0
CONV1 [t=9405000]: ch=2, y=0, x=18, val=0
CONV1 [t=9405000]: ch=3, y=0, x=18, val=0
CONV1 [t=9405000]: ch=4, y=0, x=18, val=0
CONV1 [t=9405000]: ch=5, y=0, x=18, val=0
CONV1_PRE_RELU [t=9405000]: ch=0, y=0, x=18, val=-1
CONV1_PRE_RELU [t=9405000]: ch=1, y=0, x=18, val=-1
CONV1_PRE_RELU [t=9405000]: ch=2, y=0, x=18, val=-1
CONV1_PRE_RELU [t=9405000]: ch=3, y=0, x=18, val=-1
CONV1_PRE_RELU [t=9405000]: ch=4, y=0, x=18, val=-1
CONV1_PRE_RELU [t=9405000]: ch=5, y=0, x=18, val=-1
CONV1 [t=9415000]: ch=0, y=0, x=19, val=0
CONV1 [t=9415000]: ch=1, y=0, x=19, val=0
CONV1 [t=9415000]: ch=2, y=0, x=19, val=0
CONV1 [t=9415000]: ch=3, y=0, x=19, val=0
CONV1 [t=9415000]: ch=4, y=0, x=19, val=0
CONV1 [t=9415000]: ch=5, y=0, x=19, val=0
CONV1_PRE_RELU [t=9415000]: ch=0, y=0, x=19, val=-1
CONV1_PRE_RELU [t=9415000]: ch=1, y=0, x=19, val=-1
CONV1_PRE_RELU [t=9415000]: ch=2, y=0, x=19, val=-1
CONV1_PRE_RELU [t=9415000]: ch=3, y=0, x=19, val=-1
CONV1_PRE_RELU [t=9415000]: ch=4, y=0, x=19, val=-1
CONV1_PRE_RELU [t=9415000]: ch=5, y=0, x=19, val=-1
CONV1 [t=9425000]: ch=0, y=0, x=20, val=0
CONV1 [t=9425000]: ch=1, y=0, x=20, val=0
CONV1 [t=9425000]: ch=2, y=0, x=20, val=0
CONV1 [t=9425000]: ch=3, y=0, x=20, val=0
CONV1 [t=9425000]: ch=4, y=0, x=20, val=0
CONV1 [t=9425000]: ch=5, y=0, x=20, val=0
CONV1_PRE_RELU [t=9425000]: ch=0, y=0, x=20, val=-1
CONV1_PRE_RELU [t=9425000]: ch=1, y=0, x=20, val=-1
CONV1_PRE_RELU [t=9425000]: ch=2, y=0, x=20, val=-1
CONV1_PRE_RELU [t=9425000]: ch=3, y=0, x=20, val=-1
CONV1_PRE_RELU [t=9425000]: ch=4, y=0, x=20, val=-1
CONV1_PRE_RELU [t=9425000]: ch=5, y=0, x=20, val=-1
CONV1 [t=9435000]: ch=0, y=0, x=21, val=0
CONV1 [t=9435000]: ch=1, y=0, x=21, val=0
CONV1 [t=9435000]: ch=2, y=0, x=21, val=0
CONV1 [t=9435000]: ch=3, y=0, x=21, val=0
CONV1 [t=9435000]: ch=4, y=0, x=21, val=0
CONV1 [t=9435000]: ch=5, y=0, x=21, val=0
CONV1_PRE_RELU [t=9435000]: ch=0, y=0, x=21, val=-1
CONV1_PRE_RELU [t=9435000]: ch=1, y=0, x=21, val=-1
CONV1_PRE_RELU [t=9435000]: ch=2, y=0, x=21, val=-1
CONV1_PRE_RELU [t=9435000]: ch=3, y=0, x=21, val=-1
CONV1_PRE_RELU [t=9435000]: ch=4, y=0, x=21, val=-1
CONV1_PRE_RELU [t=9435000]: ch=5, y=0, x=21, val=-1
CONV1 [t=9445000]: ch=0, y=0, x=22, val=0
CONV1 [t=9445000]: ch=1, y=0, x=22, val=0
CONV1 [t=9445000]: ch=2, y=0, x=22, val=0
CONV1 [t=9445000]: ch=3, y=0, x=22, val=0
CONV1 [t=9445000]: ch=4, y=0, x=22, val=0
CONV1 [t=9445000]: ch=5, y=0, x=22, val=0
CONV1_PRE_RELU [t=9445000]: ch=0, y=0, x=22, val=-1
CONV1_PRE_RELU [t=9445000]: ch=1, y=0, x=22, val=-1
CONV1_PRE_RELU [t=9445000]: ch=2, y=0, x=22, val=-1
CONV1_PRE_RELU [t=9445000]: ch=3, y=0, x=22, val=-1
CONV1_PRE_RELU [t=9445000]: ch=4, y=0, x=22, val=-1
CONV1_PRE_RELU [t=9445000]: ch=5, y=0, x=22, val=-1
CONV1 [t=9455000]: ch=0, y=0, x=23, val=0
CONV1 [t=9455000]: ch=1, y=0, x=23, val=0
CONV1 [t=9455000]: ch=2, y=0, x=23, val=0
CONV1 [t=9455000]: ch=3, y=0, x=23, val=0
CONV1 [t=9455000]: ch=4, y=0, x=23, val=0
CONV1 [t=9455000]: ch=5, y=0, x=23, val=0
CONV1_PRE_RELU [t=9455000]: ch=0, y=0, x=23, val=-1
CONV1_PRE_RELU [t=9455000]: ch=1, y=0, x=23, val=-1
