# conv2 output: 16 channels
# Format: channel, y, x, value
3, 7, 4, 0
3, 7, 5, 0
3, 7, 6, 0
3, 7, 7, 0
4, 0, 0, 26
4, 0, 1, 58
4, 0, 2, 90
4, 0, 3, 58
4, 0, 4, 26
4, 0, 5, 26
4, 0, 6, 26
4, 0, 7, 26
4, 1, 0, 26
4, 1, 1, 58
4, 1, 2, 90
4, 1, 3, 58
4, 1, 4, 0
4, 1, 5, 0
4, 1, 6, 0
4, 1, 7, 0
4, 2, 0, 0
4, 2, 1, 42
4, 2, 2, 90
4, 2, 3, 10
4, 2, 4, 0
4, 2, 5, 0
4, 2, 6, 0
4, 2, 7, 0
4, 3, 0, 0
4, 3, 1, 58
4, 3, 2, 26
4, 3, 3, 106
4, 3, 4, 58
4, 3, 5, 58
4, 3, 6, 58
4, 3, 7, 58
4, 4, 0, 58
4, 4, 1, 42
4, 4, 2, 74
4, 4, 3, 106
4, 4, 4, 58
4, 4, 5, 58
4, 4, 6, 58
4, 4, 7, 58
4, 5, 0, 58
4, 5, 1, 127
4, 5, 2, 127
4, 5, 3, 127
4, 5, 4, 58
4, 5, 5, 58
4, 5, 6, 58
4, 5, 7, 58
4, 6, 0, 58
4, 6, 1, 127
4, 6, 2, 127
4, 6, 3, 127
4, 6, 4, 58
4, 6, 5, 58
4, 6, 6, 58
4, 6, 7, 58
4, 7, 0, 58
4, 7, 1, 10
4, 7, 2, 74
4, 7, 3, 106
4, 7, 4, 26
4, 7, 5, 26
4, 7, 6, 26
4, 7, 7, 26
5, 0, 0, 0
5, 0, 1, 88
5, 0, 2, 120
5, 0, 3, 24
5, 0, 4, 0
5, 0, 5, 0
5, 0, 6, 0
5, 0, 7, 0
5, 1, 0, 0
5, 1, 1, 88
5, 1, 2, 120
5, 1, 3, 24
5, 1, 4, 0
5, 1, 5, 0
5, 1, 6, 0
5, 1, 7, 0
5, 2, 0, 0
5, 2, 1, 72
5, 2, 2, 24
5, 2, 3, 0
5, 2, 4, 0
5, 2, 5, 0
5, 2, 6, 0
5, 2, 7, 0
5, 3, 0, 0
5, 3, 1, 88
5, 3, 2, 56
5, 3, 3, 88
5, 3, 4, 40
5, 3, 5, 40
5, 3, 6, 40
5, 3, 7, 40
5, 4, 0, 40
5, 4, 1, 72
5, 4, 2, 120
5, 4, 3, 88
5, 4, 4, 40
5, 4, 5, 40
5, 4, 6, 40
5, 4, 7, 40
5, 5, 0, 40
5, 5, 1, 127
5, 5, 2, 127
5, 5, 3, 104
5, 5, 4, 24
5, 5, 5, 24
5, 5, 6, 24
5, 5, 7, 24
5, 6, 0, 24
5, 6, 1, 127
5, 6, 2, 127
5, 6, 3, 104
5, 6, 4, 24
5, 6, 5, 24
5, 6, 6, 24
5, 6, 7, 24
5, 7, 0, 24
5, 7, 1, 72
5, 7, 2, 120
5, 7, 3, 72
5, 7, 4, 0
5, 7, 5, 0
5, 7, 6, 0
5, 7, 7, 0
6, 0, 0, 0
6, 0, 1, 127
6, 0, 2, 127
6, 0, 3, 25
6, 0, 4, 0
6, 0, 5, 0
6, 0, 6, 0
6, 0, 7, 0
6, 1, 0, 0
6, 1, 1, 127
6, 1, 2, 127
6, 1, 3, 9
6, 1, 4, 0
6, 1, 5, 0
6, 1, 6, 0
6, 1, 7, 0
6, 2, 0, 0
6, 2, 1, 105
6, 2, 2, 41
6, 2, 3, 0
6, 2, 4, 0
6, 2, 5, 0
6, 2, 6, 0
6, 2, 7, 0
6, 3, 0, 0
6, 3, 1, 127
6, 3, 2, 89
6, 3, 3, 127
6, 3, 4, 41
6, 3, 5, 41
6, 3, 6, 41
6, 3, 7, 41
6, 4, 0, 41
6, 4, 1, 121
6, 4, 2, 127
6, 4, 3, 127
6, 4, 4, 41
6, 4, 5, 41
6, 4, 6, 41
6, 4, 7, 41
6, 5, 0, 41
6, 5, 1, 127
6, 5, 2, 127
6, 5, 3, 121
6, 5, 4, 9
6, 5, 5, 9
6, 5, 6, 9
6, 5, 7, 9
6, 6, 0, 9
6, 6, 1, 127
6, 6, 2, 127
6, 6, 3, 121
6, 6, 4, 9
6, 6, 5, 9
6, 6, 6, 9
6, 6, 7, 9
6, 7, 0, 9
6, 7, 1, 121
6, 7, 2, 127
6, 7, 3, 73
6, 7, 4, 0
6, 7, 5, 0
6, 7, 6, 0
6, 7, 7, 0
7, 0, 0, 67
7, 0, 1, 127
7, 0, 2, 127
7, 0, 3, 127
7, 0, 4, 67
7, 0, 5, 67
7, 0, 6, 67
7, 0, 7, 67
7, 1, 0, 67
7, 1, 1, 127
7, 1, 2, 127
7, 1, 3, 115
7, 1, 4, 67
7, 1, 5, 67
7, 1, 6, 67
7, 1, 7, 67
7, 2, 0, 67
7, 2, 1, 127
7, 2, 2, 127
7, 2, 3, 67
7, 2, 4, 35
7, 2, 5, 35
7, 2, 6, 35
7, 2, 7, 35
7, 3, 0, 35
7, 3, 1, 127
7, 3, 2, 127
7, 3, 3, 127
7, 3, 4, 127
7, 3, 5, 127
7, 3, 6, 127
7, 3, 7, 127
7, 4, 0, 127
7, 4, 1, 127
7, 4, 2, 127
7, 4, 3, 127
7, 4, 4, 127
7, 4, 5, 127
7, 4, 6, 127
7, 4, 7, 127
7, 5, 0, 127
7, 5, 1, 127
7, 5, 2, 127
7, 5, 3, 127
7, 5, 4, 115
7, 5, 5, 115
7, 5, 6, 115
7, 5, 7, 115
7, 6, 0, 115
7, 6, 1, 127
7, 6, 2, 127
7, 6, 3, 127
7, 6, 4, 115
7, 6, 5, 115
7, 6, 6, 115
7, 6, 7, 115
7, 7, 0, 115
7, 7, 1, 127
7, 7, 2, 127
7, 7, 3, 127
7, 7, 4, 67
7, 7, 5, 67
7, 7, 6, 67
7, 7, 7, 67
8, 0, 0, 127
8, 0, 1, 127
8, 0, 2, 127
8, 0, 3, 127
8, 0, 4, 127
8, 0, 5, 127
8, 0, 6, 127
8, 0, 7, 127
8, 1, 0, 127
8, 1, 1, 127
8, 1, 2, 127
8, 1, 3, 127
8, 1, 4, 127
8, 1, 5, 127
8, 1, 6, 127
8, 1, 7, 127
8, 2, 0, 127
8, 2, 1, 127
8, 2, 2, 127
8, 2, 3, 127
8, 2, 4, 92
8, 2, 5, 92
8, 2, 6, 92
8, 2, 7, 92
8, 3, 0, 92
8, 3, 1, 127
8, 3, 2, 127
8, 3, 3, 127
8, 3, 4, 127
8, 3, 5, 127
8, 3, 6, 127
8, 3, 7, 127
8, 4, 0, 127
8, 4, 1, 127
8, 4, 2, 127
8, 4, 3, 127
8, 4, 4, 127
8, 4, 5, 127
8, 4, 6, 127
8, 4, 7, 127
8, 5, 0, 127
8, 5, 1, 127
8, 5, 2, 127
8, 5, 3, 127
8, 5, 4, 127
8, 5, 5, 127
8, 5, 6, 127
8, 5, 7, 127
8, 6, 0, 127
8, 6, 1, 127
8, 6, 2, 127
8, 6, 3, 127
8, 6, 4, 127
8, 6, 5, 127
8, 6, 6, 127
8, 6, 7, 127
8, 7, 0, 127
8, 7, 1, 127
8, 7, 2, 127
8, 7, 3, 127
8, 7, 4, 127
8, 7, 5, 127
8, 7, 6, 127
8, 7, 7, 127
9, 0, 0, 63
9, 0, 1, 95
9, 0, 2, 127
9, 0, 3, 95
9, 0, 4, 63
9, 0, 5, 63
9, 0, 6, 63
9, 0, 7, 63
